Timestamp,Price,Signal,BettiCurve_0,BettiCurve_1,L1_Persistence,L2_Persistence
2024-05-13 19:09:56.558711040,62898.290226628065,Hold,7,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:56.558711040,62898.29050369886,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:57.343812864,62898.290925757596,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:57.475263232,62898.291596982635,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:58.076442112,62898.292524306235,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:58.077025792,62898.29337691821,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:58.175602944,62898.29409468761,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:57.343812864,62898.29475817164,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:57.475263232,62898.29531734906,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:58.076442112,62898.29571555512,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:58.077025792,62898.29596606636,Hold,8,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:58.175602944,62898.295928955115,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:58.914540032,62898.29559933197,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:58.914540032,62898.29530055633,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.380740864,62898.29508648753,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.558144000,62898.294888813856,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.558258944,62898.294757093136,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.727188224,62898.294712691335,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.799411968,62898.29474384623,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.976242944,62898.29497151521,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.976649984,62898.29540085513,Hold,7,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.977497088,62898.29575778707,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.977832960,62898.29599498751,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.978252800,62898.29620305282,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.978579968,62898.296344438066,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.979742976,62898.296329371384,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.980088064,62898.29617471626,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.980506880,62898.295743176655,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.980834048,62898.29503003523,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.984209920,62898.294411705785,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.984564992,62898.2939624119,Hold,5,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.985006080,62898.29355033966,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.985332992,62898.29323278315,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.986947072,62898.29314365868,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.987304960,62898.29326395534,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.988396032,62898.29379061016,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.990259968,62898.294734458184,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.991013120,62898.29555507812,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.991347200,62898.29615604866,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.993372928,62898.29668426122,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.995322112,62898.29706014363,Hold,3,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.995661056,62898.297169444486,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.996002816,62898.29703773398,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.996328192,62898.296424106906,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:09:59.996728832,62898.29532035364,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.003899136,62898.294322679096,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.004167168,62898.29353666734,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.004401920,62898.292807890386,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.004643840,62898.292227103804,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.005004032,62898.29189770017,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.005158912,62898.291793932476,Hold,2,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.051543040,62898.2921764493,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.051922176,62898.293056353374,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.052244992,62898.29379756964,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.052623104,62898.294292338636,Hold,0,0,28.43010690342635,4.530087754156184
2024-05-13 19:10:00.052953088,62898.29470475111,Hold,0,0,28.43010690342635,4.530087754156184
