,Timestamp,Open,High,Low,Close,Volume,Date,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv
0,2024-06-10 09:31:34,69264.4,69264.4,69264.3,69264.3,1.442,2024-06-10 09:31:34,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,34632.15,False,False,Hold,69268.96,69275.26999999999,67.7272727272804,0,0,0.0,0.0,2078229.0,-122527146.15384617,-53.999999999359716,-9800.000000104774,238.00000000046566,-2500.0
1,2024-06-10 09:31:35,69264.4,69269.3,69264.3,69269.3,1.283,2024-06-10 09:31:35,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,55414.44,False,False,Hold,69268.96,69275.26999999999,67.7272727272804,0,0,0.0,0.0,2078229.0,-122527146.15384617,-53.999999999359716,-9800.000000104774,238.00000000046566,-2500.0
2,2024-06-10 09:31:36,69269.4,69275.1,69269.4,69275.0,1.324,2024-06-10 09:31:36,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,63944.015384615384,True,False,Sell,69268.96,69275.26999999999,67.7272727272804,0,0,0.0,0.0,852957.5384615383,-122527146.15384617,-53.999999999359716,-9800.000000104774,238.00000000046566,-2500.0
3,2024-06-10 09:31:37,69275.1,69286.8,69274.6,69274.6,18.744,2024-06-10 09:31:37,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,67236.43529411765,False,False,Hold,69268.96,69275.26999999999,67.7272727272804,1,0,5.7000000000116415,0.0,329241.9909502263,-52371554.75113119,-53.999999999359716,-9800.000000104774,238.00000000046566,-2500.0
4,2024-06-10 09:31:38,69274.6,69274.7,69258.3,69261.6,30.871,2024-06-10 09:31:38,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,68487.9415730337,False,True,Buy,69268.96,69275.26999999999,67.7272727272804,2,0,5.2000000000116415,0.0,125150.62789160584,-20409136.305862047,-53.999999999359716,-9800.000000104774,238.00000000046566,-2500.0
5,2024-06-10 09:31:39,69261.6,69261.7,69261.6,69261.6,0.5770000000000001,2024-06-10 09:31:39,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,68966.08240343348,False,False,Hold,69268.42000000001,69275.26999999999,67.7272727272804,3,1,-7.7999999999883585,-13.0,47814.08303997741,-7733654.485162842,-53.999999999359716,-9800.000000104774,238.00000000046566,-2500.0
6,2024-06-10 09:31:40,69261.7,69261.7,69261.7,69261.7,0.086,2024-06-10 09:31:40,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,69148.7837704918,True,False,Sell,69266.90000000001,69275.26999999999,67.7272727272804,0,2,0.0,-12.900000000008731,18270.136705832556,-2954394.6334144855,-152.00000000040745,-9800.000000104774,238.00000000046566,-2500.0
7,2024-06-10 09:31:41,69261.7,69261.7,69261.6,69261.6,0.683,2024-06-10 09:31:41,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,69218.50801502819,False,True,Buy,69264.22,69275.26999999999,67.7272727272804,1,0,0.0,0.0,6972.424453638087,-1129771.225219447,-268.0000000007567,-11600.000000034925,238.00000000046566,-2500.0
8,2024-06-10 09:31:42,69261.7,69261.7,69261.6,69261.7,1.49,2024-06-10 09:31:42,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,69245.20212867735,True,False,Sell,69261.64,69275.26999999999,67.7272727272804,0,1,0.0,0.0,2669.4113649165956,-430301.3088721491,-258.0000000001746,1000.0000000582077,238.00000000046566,-2500.0
9,2024-06-10 09:31:43,69261.7,69261.7,69261.6,69261.7,0.123,2024-06-10 09:31:43,75.7894736841799,89.5986698772967,75.7894736841799,75.7894736841799,69255.3983738352,False,False,Hold,69261.66,69275.26999999999,67.7272727272804,1,2,0.0,0.0,1019.6245157843805,-164978.6849132215,2.0000000004074536,26000.000000058208,238.00000000046566,-2500.0
