2025-06-21 10:45:51 - Order events [contract=BTCUSDT, order_id=4575718548, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103438.4, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:45:52 - Order events [contract=BTCUSDT, order_id=4575718548, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103438.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:45:52 - Order events [contract=BTCUSDT, order_id=4575718548, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103438.9, last_filled_qty=0.039, canceled_reason=None]
2025-06-21 10:45:53 - Order events [contract=BTCUSDT, order_id=4575718589, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103438.3, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:45:53 - Order events [contract=BTCUSDT, order_id=4575718589, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103438.9, last_filled_qty=0.009, canceled_reason=None]
2025-06-21 10:45:53 - Order events [contract=BTCUSDT, order_id=4575718589, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103441.1, last_filled_qty=0.031, canceled_reason=None]
2025-06-21 10:45:59 - Order events [contract=BTCUSDT, order_id=4575718787, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103438.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:45:59 - Order events [contract=BTCUSDT, order_id=4575718787, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103438.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:45:59 - Order events [contract=BTCUSDT, order_id=4575718787, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103441.1, last_filled_qty=0.017, canceled_reason=None]
2025-06-21 10:45:59 - Order events [contract=BTCUSDT, order_id=4575718787, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103441.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:45:59 - Order events [contract=BTCUSDT, order_id=4575718787, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.017, canceled_reason=None]
2025-06-21 10:46:00 - Order events [contract=BTCUSDT, order_id=4575718820, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103441.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:46:00 - Order events [contract=BTCUSDT, order_id=4575718820, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.018, canceled_reason=None]
2025-06-21 10:46:00 - Order events [contract=BTCUSDT, order_id=4575718820, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.008, canceled_reason=None]
2025-06-21 10:46:00 - Order events [contract=BTCUSDT, order_id=4575718820, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.008, canceled_reason=None]
2025-06-21 10:46:15 - Order events [contract=BTCUSDT, order_id=4575719304, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.038, canceled_reason=None]
2025-06-21 10:46:15 - Order events [contract=BTCUSDT, order_id=4575719347, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.036, canceled_reason=None]
2025-06-21 10:46:16 - Order events [contract=BTCUSDT, order_id=4575719404, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103440.4, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:46:31 - Order events [contract=BTCUSDT, order_id=4575719684, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:46:31 - Order events [contract=BTCUSDT, order_id=4575719684, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.032, canceled_reason=None]
2025-06-21 10:46:31 - Order events [contract=BTCUSDT, order_id=4575719792, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.034, canceled_reason=None]
2025-06-21 10:46:32 - Order events [contract=BTCUSDT, order_id=4575720273, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103441.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:46:32 - Order events [contract=BTCUSDT, order_id=4575720273, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.003, canceled_reason=None]
2025-06-21 10:46:39 - Order events [contract=BTCUSDT, order_id=4575720273, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.029, canceled_reason=None]
2025-06-21 10:46:40 - Order events [contract=BTCUSDT, order_id=4575720729, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.1, last_filled_qty=0.031, canceled_reason=None]
2025-06-21 10:47:02 - Order events [contract=BTCUSDT, order_id=4575722655, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:47:02 - Order events [contract=BTCUSDT, order_id=4575722655, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.005, canceled_reason=None]
2025-06-21 10:47:02 - Order events [contract=BTCUSDT, order_id=4575722655, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.02, canceled_reason=None]
2025-06-21 10:47:02 - Order events [contract=BTCUSDT, order_id=4575722655, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:03 - Order events [contract=BTCUSDT, order_id=4575722729, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:03 - Order events [contract=BTCUSDT, order_id=4575722729, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:47:04 - Order events [contract=BTCUSDT, order_id=4575722832, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.9, last_filled_qty=0.027, canceled_reason=None]
2025-06-21 10:47:06 - Order events [contract=BTCUSDT, order_id=4575722870, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.9, last_filled_qty=0.027, canceled_reason=None]
2025-06-21 10:47:07 - Order events [contract=BTCUSDT, order_id=4575722943, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.026, canceled_reason=None]
2025-06-21 10:47:09 - Order events [contract=BTCUSDT, order_id=4575722979, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.013, canceled_reason=None]
2025-06-21 10:47:09 - Order events [contract=BTCUSDT, order_id=4575722979, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:09 - Order events [contract=BTCUSDT, order_id=4575722979, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:09 - Order events [contract=BTCUSDT, order_id=4575722979, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.9, last_filled_qty=0.011, canceled_reason=None]
2025-06-21 10:47:17 - Order events [contract=BTCUSDT, order_id=4575723130, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.008, canceled_reason=None]
2025-06-21 10:47:18 - Order events [contract=BTCUSDT, order_id=4575723194, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:19 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:19 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723258, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:20 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:24 - Order events [contract=BTCUSDT, order_id=4575723364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:31 - Order events [contract=BTCUSDT, order_id=4575723944, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:47:31 - Order events [contract=BTCUSDT, order_id=4575723944, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103442.8, last_filled_qty=0.001, canceled_reason=None]
