2025-06-19 20:54:35 - Order events [contract=BTCUSDT, order_id=4563550174, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:37 - Order events [contract=BTCUSDT, order_id=4563550348, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:38 - Order events [contract=BTCUSDT, order_id=4563550438, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:40 - Order events [contract=BTCUSDT, order_id=4563550687, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:42 - Order events [contract=BTCUSDT, order_id=4563550858, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:44 - Order events [contract=BTCUSDT, order_id=4563550992, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:45 - Order events [contract=BTCUSDT, order_id=4563551106, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:47 - Order events [contract=BTCUSDT, order_id=4563551350, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:48 - Order events [contract=BTCUSDT, order_id=4563551439, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:50 - Order events [contract=BTCUSDT, order_id=4563551545, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:52 - Order events [contract=BTCUSDT, order_id=4563551649, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:53 - Order events [contract=BTCUSDT, order_id=4563551738, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:55 - Order events [contract=BTCUSDT, order_id=4563552008, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:57 - Order events [contract=BTCUSDT, order_id=4563552203, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:54:59 - Order events [contract=BTCUSDT, order_id=4563552326, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:55:00 - Order events [contract=BTCUSDT, order_id=4563552492, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:55:02 - Order events [contract=BTCUSDT, order_id=4563552607, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 20:55:04 - Order events [contract=BTCUSDT, order_id=4563552677, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104687.5, last_filled_qty=0.001, canceled_reason=None]
