2025-06-23 22:13:17 - Order events [contract=BTCUSDT, order_id=4631304934, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102178.4, last_filled_qty=0.084, canceled_reason=None]
2025-06-23 22:13:19 - Order events [contract=BTCUSDT, order_id=4631309173, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102177.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-23 22:13:19 - Order events [contract=BTCUSDT, order_id=4631309173, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102177.0, last_filled_qty=0.083, canceled_reason=None]
2025-06-23 22:13:26 - Order events [contract=BTCUSDT, order_id=4631312584, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102177.1, last_filled_qty=0.02, canceled_reason=None]
2025-06-23 22:13:26 - Order events [contract=BTCUSDT, order_id=4631312584, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102178.7, last_filled_qty=0.041, canceled_reason=None]
2025-06-23 22:13:26 - Order events [contract=BTCUSDT, order_id=4631312584, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102179.5, last_filled_qty=0.023, canceled_reason=None]
2025-06-23 22:13:28 - Order events [contract=BTCUSDT, order_id=4631312788, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102177.0, last_filled_qty=0.084, canceled_reason=None]
2025-06-23 22:13:47 - Order events [contract=BTCUSDT, order_id=4631321947, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102177.1, last_filled_qty=0.028, canceled_reason=None]
2025-06-23 22:13:47 - Order events [contract=BTCUSDT, order_id=4631321947, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102177.2, last_filled_qty=0.014, canceled_reason=None]
2025-06-23 22:13:47 - Order events [contract=BTCUSDT, order_id=4631321947, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102177.8, last_filled_qty=0.042, canceled_reason=None]
2025-06-23 22:13:49 - Order events [contract=BTCUSDT, order_id=4631324024, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102177.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-23 22:13:49 - Order events [contract=BTCUSDT, order_id=4631324024, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102177.0, last_filled_qty=0.083, canceled_reason=None]
2025-06-23 22:13:52 - Order events [contract=BTCUSDT, order_id=4631327095, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102180.4, last_filled_qty=0.084, canceled_reason=None]
2025-06-23 22:13:59 - Order events [contract=BTCUSDT, order_id=4631337317, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102177.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-23 22:13:59 - Order events [contract=BTCUSDT, order_id=4631337317, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102177.0, last_filled_qty=0.083, canceled_reason=None]
2025-06-23 22:14:03 - Order events [contract=BTCUSDT, order_id=4631342110, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102177.5, last_filled_qty=0.084, canceled_reason=None]
2025-06-23 22:14:05 - Order events [contract=BTCUSDT, order_id=4631343459, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102177.3, last_filled_qty=0.001, canceled_reason=None]
