2025-06-24 22:28:18 - Order events [contract=BTCUSDT, order_id=4694740754, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105269.1, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:28:59 - Order events [contract=BTCUSDT, order_id=4694767361, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105256.8, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:29:02 - Order events [contract=BTCUSDT, order_id=4694772578, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105256.6, last_filled_qty=0.022, canceled_reason=None]
2025-06-24 22:29:02 - Order events [contract=BTCUSDT, order_id=4694772578, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105256.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-24 22:29:02 - Order events [contract=BTCUSDT, order_id=4694772578, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105256.5, last_filled_qty=0.051, canceled_reason=None]
2025-06-24 22:29:04 - Order events [contract=BTCUSDT, order_id=4694776240, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105260.4, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:29:06 - Order events [contract=BTCUSDT, order_id=4694778611, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105262.5, last_filled_qty=0.006, canceled_reason=None]
2025-06-24 22:29:06 - Order events [contract=BTCUSDT, order_id=4694778611, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105262.2, last_filled_qty=0.068, canceled_reason=None]
2025-06-24 22:29:20 - Order events [contract=BTCUSDT, order_id=4694787653, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105276.5, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:29:25 - Order events [contract=BTCUSDT, order_id=4694792398, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105278.8, last_filled_qty=0.072, canceled_reason=None]
2025-06-24 22:29:25 - Order events [contract=BTCUSDT, order_id=4694792398, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105276.1, last_filled_qty=0.002, canceled_reason=None]
2025-06-24 22:29:32 - Order events [contract=BTCUSDT, order_id=4694793767, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105286.2, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:29:35 - Order events [contract=BTCUSDT, order_id=4694794085, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105277.1, last_filled_qty=0.07, canceled_reason=None]
2025-06-24 22:29:35 - Order events [contract=BTCUSDT, order_id=4694794085, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105274.0, last_filled_qty=0.004, canceled_reason=None]
2025-06-24 22:29:40 - Order events [contract=BTCUSDT, order_id=4694796764, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105287.4, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:29:43 - Order events [contract=BTCUSDT, order_id=4694798794, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105286.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-24 22:29:44 - Order events [contract=BTCUSDT, order_id=4694798794, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105280.9, last_filled_qty=0.001, canceled_reason=None]
2025-06-24 22:29:44 - Order events [contract=BTCUSDT, order_id=4694798794, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105280.9, last_filled_qty=0.071, canceled_reason=None]
2025-06-24 22:29:48 - Order events [contract=BTCUSDT, order_id=4694801239, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105291.4, last_filled_qty=0.015, canceled_reason=None]
2025-06-24 22:29:48 - Order events [contract=BTCUSDT, order_id=4694801239, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105291.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-24 22:29:48 - Order events [contract=BTCUSDT, order_id=4694801239, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105291.5, last_filled_qty=0.057, canceled_reason=None]
2025-06-24 22:29:50 - Order events [contract=BTCUSDT, order_id=4694802398, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105303.2, last_filled_qty=0.01, canceled_reason=None]
2025-06-24 22:29:50 - Order events [contract=BTCUSDT, order_id=4694802398, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105299.4, last_filled_qty=0.064, canceled_reason=None]
2025-06-24 22:29:53 - Order events [contract=BTCUSDT, order_id=4694803575, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105304.3, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:29:56 - Order events [contract=BTCUSDT, order_id=4694807396, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105305.6, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:29:59 - Order events [contract=BTCUSDT, order_id=4694811354, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105301.9, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:30:02 - Order events [contract=BTCUSDT, order_id=4694817015, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105304.3, last_filled_qty=0.001, canceled_reason=None]
2025-06-24 22:30:02 - Order events [contract=BTCUSDT, order_id=4694817015, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105304.3, last_filled_qty=0.014, canceled_reason=None]
2025-06-24 22:30:02 - Order events [contract=BTCUSDT, order_id=4694817015, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105304.2, last_filled_qty=0.059, canceled_reason=None]
2025-06-24 22:30:04 - Order events [contract=BTCUSDT, order_id=4694820096, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105317.8, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:30:07 - Order events [contract=BTCUSDT, order_id=4694823054, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105312.1, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:30:12 - Order events [contract=BTCUSDT, order_id=4694823572, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105317.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-24 22:30:12 - Order events [contract=BTCUSDT, order_id=4694823572, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105317.7, last_filled_qty=0.073, canceled_reason=None]
2025-06-24 22:30:16 - Order events [contract=BTCUSDT, order_id=4694826171, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105316.5, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:30:18 - Order events [contract=BTCUSDT, order_id=4694829078, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105326.6, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:30:21 - Order events [contract=BTCUSDT, order_id=4694832522, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105326.5, last_filled_qty=0.074, canceled_reason=None]
2025-06-24 22:30:28 - Order events [contract=BTCUSDT, order_id=4694839989, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105339.9, last_filled_qty=0.001, canceled_reason=None]
2025-06-24 22:30:28 - Order events [contract=BTCUSDT, order_id=4694839989, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105339.9, last_filled_qty=0.018, canceled_reason=None]
2025-06-24 22:30:28 - Order events [contract=BTCUSDT, order_id=4694839989, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105339.8, last_filled_qty=0.055, canceled_reason=None]
2025-06-24 22:30:30 - Order events [contract=BTCUSDT, order_id=4694841255, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=105343.6, last_filled_qty=0.049, canceled_reason=None]
