2025-06-21 15:43:07 - Order events [contract=BTCUSDT, order_id=4576681387, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103400.3, last_filled_qty=0.062, canceled_reason=None]
2025-06-21 15:43:07 - Order events [contract=BTCUSDT, order_id=4576681387, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103400.6, last_filled_qty=0.046, canceled_reason=None]
2025-06-21 15:43:10 - Order events [contract=BTCUSDT, order_id=4576681623, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103400.2, last_filled_qty=0.108, canceled_reason=None]
2025-06-21 15:43:28 - Order events [contract=BTCUSDT, order_id=4576682657, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103391.8, last_filled_qty=0.108, canceled_reason=None]
2025-06-21 15:43:51 - Order events [contract=BTCUSDT, order_id=4576683903, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103391.0, last_filled_qty=0.014, canceled_reason=None]
2025-06-21 15:43:51 - Order events [contract=BTCUSDT, order_id=4576683903, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103390.7, last_filled_qty=0.094, canceled_reason=None]
2025-06-21 15:44:02 - Order events [contract=BTCUSDT, order_id=4576684546, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103404.3, last_filled_qty=0.054, canceled_reason=None]
2025-06-21 15:44:02 - Order events [contract=BTCUSDT, order_id=4576684546, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103404.4, last_filled_qty=0.054, canceled_reason=None]
2025-06-21 15:44:14 - Order events [contract=BTCUSDT, order_id=4576685863, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103406.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:44:14 - Order events [contract=BTCUSDT, order_id=4576685863, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103406.5, last_filled_qty=0.107, canceled_reason=None]
2025-06-21 15:44:30 - Order events [contract=BTCUSDT, order_id=4576686555, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103425.5, last_filled_qty=0.044, canceled_reason=None]
2025-06-21 15:44:30 - Order events [contract=BTCUSDT, order_id=4576686555, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103425.6, last_filled_qty=0.064, canceled_reason=None]
