2025-06-20 00:26:16 - Order events [contract=BTCUSDT, order_id=4564759472, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.092, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:19 - Order events [contract=BTCUSDT, order_id=4564759595, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104294.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 00:26:22 - Order events [contract=BTCUSDT, order_id=4564759824, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104307.1, last_filled_qty=0.034, canceled_reason=None]
