2025-06-22 13:51:01 - Order events [contract=BTCUSDT, order_id=4584755211, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:51:09 - Order events [contract=BTCUSDT, order_id=4584755653, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:51:11 - Order events [contract=BTCUSDT, order_id=4584755878, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:51:17 - Order events [contract=BTCUSDT, order_id=4584756180, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:51:21 - Order events [contract=BTCUSDT, order_id=4584756629, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:51:26 - Order events [contract=BTCUSDT, order_id=4584757223, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:51:29 - Order events [contract=BTCUSDT, order_id=4584757648, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:51:38 - Order events [contract=BTCUSDT, order_id=4584758337, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:51:42 - Order events [contract=BTCUSDT, order_id=4584758701, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:51:44 - Order events [contract=BTCUSDT, order_id=4584758817, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:51:47 - Order events [contract=BTCUSDT, order_id=4584759265, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:51:51 - Order events [contract=BTCUSDT, order_id=4584759645, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:51:56 - Order events [contract=BTCUSDT, order_id=4584759940, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:52:04 - Order events [contract=BTCUSDT, order_id=4584760952, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:52:10 - Order events [contract=BTCUSDT, order_id=4584761661, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:52:15 - Order events [contract=BTCUSDT, order_id=4584761855, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:52:24 - Order events [contract=BTCUSDT, order_id=4584762614, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:52:29 - Order events [contract=BTCUSDT, order_id=4584762939, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102700.0, last_filled_qty=0.084, canceled_reason=None]
2025-06-22 13:52:33 - Order events [contract=BTCUSDT, order_id=4584763122, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102700.1, last_filled_qty=0.084, canceled_reason=None]
