2025-06-23 21:06:28 - Order events [contract=BTCUSDT, order_id=4627526453, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101560.0, last_filled_qty=0.085, canceled_reason=None]
2025-06-23 21:06:47 - Order events [contract=BTCUSDT, order_id=4627548961, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101562.2, last_filled_qty=0.049, canceled_reason=None]
2025-06-23 21:06:47 - Order events [contract=BTCUSDT, order_id=4627548961, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101562.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-23 21:06:47 - Order events [contract=BTCUSDT, order_id=4627548961, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101564.3, last_filled_qty=0.035, canceled_reason=None]
2025-06-23 21:06:49 - Order events [contract=BTCUSDT, order_id=4627549684, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101560.0, last_filled_qty=0.085, canceled_reason=None]
2025-06-23 21:07:07 - Order events [contract=BTCUSDT, order_id=4627570855, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101560.8, last_filled_qty=0.085, canceled_reason=None]
2025-06-23 21:07:10 - Order events [contract=BTCUSDT, order_id=4627573670, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101565.6, last_filled_qty=0.085, canceled_reason=None]
2025-06-23 21:07:12 - Order events [contract=BTCUSDT, order_id=4627573914, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101560.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-23 21:07:12 - Order events [contract=BTCUSDT, order_id=4627573914, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101560.0, last_filled_qty=0.084, canceled_reason=None]
2025-06-23 21:07:15 - Order events [contract=BTCUSDT, order_id=4627575116, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101560.0, last_filled_qty=0.085, canceled_reason=None]
