2025-06-21 15:00:10 - Order events [contract=BTCUSDT, order_id=4576528110, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103583.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:00:15 - Order events [contract=BTCUSDT, order_id=4576528110, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103583.6, last_filled_qty=0.849, canceled_reason=None]
2025-06-21 15:00:15 - Order events [contract=BTCUSDT, order_id=4576528167, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103583.6, last_filled_qty=0.151, canceled_reason=None]
2025-06-21 15:00:28 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.029, canceled_reason=None]
2025-06-21 15:00:29 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.01, canceled_reason=None]
2025-06-21 15:00:29 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:00:29 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:00:29 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:00:29 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:00:29 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:00:30 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:00:30 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:00:30 - Order events [contract=BTCUSDT, order_id=4576528955, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103583.7, last_filled_qty=0.001, canceled_reason=None]
