2025-06-19 23:48:29 - Order events [contract=BTCUSDT, order_id=4564573632, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104241.0, last_filled_qty=0.069, canceled_reason=None]
2025-06-19 23:48:31 - Order events [contract=BTCUSDT, order_id=4564574102, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104241.0, last_filled_qty=0.067, canceled_reason=None]
2025-06-19 23:48:33 - Order events [contract=BTCUSDT, order_id=4564574196, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104241.0, last_filled_qty=0.04, canceled_reason=None]
2025-06-19 23:48:33 - Order events [contract=BTCUSDT, order_id=4564574196, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104241.0, last_filled_qty=0.02, canceled_reason=None]
2025-06-19 23:48:33 - Order events [contract=BTCUSDT, order_id=4564574196, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104241.0, last_filled_qty=0.002, canceled_reason=None]
2025-06-19 23:48:33 - Order events [contract=BTCUSDT, order_id=4564574196, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104241.0, last_filled_qty=0.002, canceled_reason=None]
2025-06-19 23:48:39 - Order events [contract=BTCUSDT, order_id=4564574542, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104241.7, last_filled_qty=0.007, canceled_reason=None]
2025-06-19 23:48:39 - Order events [contract=BTCUSDT, order_id=4564574542, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104243.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:48:39 - Order events [contract=BTCUSDT, order_id=4564574542, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104243.5, last_filled_qty=0.054, canceled_reason=None]
2025-06-19 23:48:55 - Order events [contract=BTCUSDT, order_id=4564575359, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104256.6, last_filled_qty=0.06, canceled_reason=None]
2025-06-19 23:48:56 - Order events [contract=BTCUSDT, order_id=4564575635, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104262.6, last_filled_qty=0.015, canceled_reason=None]
2025-06-19 23:48:56 - Order events [contract=BTCUSDT, order_id=4564575635, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104262.6, last_filled_qty=0.043, canceled_reason=None]
2025-06-19 23:49:03 - Order events [contract=BTCUSDT, order_id=4564576440, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104266.9, last_filled_qty=0.051, canceled_reason=None]
2025-06-19 23:49:14 - Order events [contract=BTCUSDT, order_id=4564577165, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104266.9, last_filled_qty=0.054, canceled_reason=None]
2025-06-19 23:49:21 - Order events [contract=BTCUSDT, order_id=4564577656, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104266.9, last_filled_qty=0.052, canceled_reason=None]
2025-06-19 23:49:25 - Order events [contract=BTCUSDT, order_id=4564577974, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104266.9, last_filled_qty=0.05, canceled_reason=None]
2025-06-19 23:49:37 - Order events [contract=BTCUSDT, order_id=4564579441, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104266.9, last_filled_qty=0.048, canceled_reason=None]
2025-06-19 23:49:43 - Margin is insufficient.
2025-06-19 23:49:47 - Order events [contract=BTCUSDT, order_id=4564580393, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104264.9, last_filled_qty=0.029, canceled_reason=None]
2025-06-19 23:49:47 - Order events [contract=BTCUSDT, order_id=4564580393, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104267.0, last_filled_qty=0.018, canceled_reason=None]
2025-06-19 23:49:50 - Order events [contract=BTCUSDT, order_id=4564580625, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104258.9, last_filled_qty=0.045, canceled_reason=None]
2025-06-19 23:49:52 - Order events [contract=BTCUSDT, order_id=4564580686, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104258.9, last_filled_qty=0.043, canceled_reason=None]
2025-06-19 23:49:55 - Order events [contract=BTCUSDT, order_id=4564581012, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104258.4, last_filled_qty=0.042, canceled_reason=None]
