2025-06-22 13:32:00 - Order events [contract=BTCUSDT, order_id=4584665395, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102786.6, last_filled_qty=0.012, canceled_reason=None]
2025-06-22 13:32:06 - Order events [contract=BTCUSDT, order_id=4584665897, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102781.6, last_filled_qty=0.041, canceled_reason=None]
2025-06-22 13:32:06 - Order events [contract=BTCUSDT, order_id=4584665897, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102781.5, last_filled_qty=0.006, canceled_reason=None]
2025-06-22 13:32:06 - Order events [contract=BTCUSDT, order_id=4584665897, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102781.5, last_filled_qty=0.038, canceled_reason=None]
2025-06-22 13:32:10 - Order events [contract=BTCUSDT, order_id=4584666391, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102781.5, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:32:20 - Order events [contract=BTCUSDT, order_id=4584667245, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102784.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:32:20 - Order events [contract=BTCUSDT, order_id=4584667245, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102784.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:32:20 - Order events [contract=BTCUSDT, order_id=4584667245, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102784.5, last_filled_qty=0.083, canceled_reason=None]
2025-06-22 13:32:25 - Order events [contract=BTCUSDT, order_id=4584667631, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102776.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:32:25 - Order events [contract=BTCUSDT, order_id=4584667631, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102762.8, last_filled_qty=0.034, canceled_reason=None]
2025-06-22 13:32:25 - Order events [contract=BTCUSDT, order_id=4584667631, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102761.7, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:32:25 - Order events [contract=BTCUSDT, order_id=4584667631, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102760.6, last_filled_qty=0.048, canceled_reason=None]
2025-06-22 13:32:28 - Order events [contract=BTCUSDT, order_id=4584668081, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102762.5, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:32:30 - Order events [contract=BTCUSDT, order_id=4584668245, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102759.9, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102762.5, last_filled_qty=0.06, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102764.7, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102764.9, last_filled_qty=0.003, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102767.0, last_filled_qty=0.006, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102767.8, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102771.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102772.3, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102776.8, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:32:39 - Order events [contract=BTCUSDT, order_id=4584668971, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102779.6, last_filled_qty=0.007, canceled_reason=None]
2025-06-22 13:32:41 - Order events [contract=BTCUSDT, order_id=4584669086, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102759.9, last_filled_qty=0.085, canceled_reason=None]
2025-06-22 13:32:46 - Order events [contract=BTCUSDT, order_id=4584669565, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102761.4, last_filled_qty=0.004, canceled_reason=None]
2025-06-22 13:32:46 - Order events [contract=BTCUSDT, order_id=4584669565, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102764.6, last_filled_qty=0.049, canceled_reason=None]
2025-06-22 13:32:46 - Order events [contract=BTCUSDT, order_id=4584669565, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102764.6, last_filled_qty=0.032, canceled_reason=None]
2025-06-22 13:32:47 - Order events [contract=BTCUSDT, order_id=4584669806, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102763.9, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:32:47 - Order events [contract=BTCUSDT, order_id=4584669806, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102759.9, last_filled_qty=0.083, canceled_reason=None]
2025-06-22 13:33:00 - Order events [contract=BTCUSDT, order_id=4584670684, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102764.6, last_filled_qty=0.016, canceled_reason=None]
2025-06-22 13:33:00 - Order events [contract=BTCUSDT, order_id=4584670684, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102764.9, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:33:00 - Order events [contract=BTCUSDT, order_id=4584670684, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102765.1, last_filled_qty=0.067, canceled_reason=None]
2025-06-22 13:33:02 - Order events [contract=BTCUSDT, order_id=4584670855, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102764.0, last_filled_qty=0.005, canceled_reason=None]
2025-06-22 13:33:02 - Order events [contract=BTCUSDT, order_id=4584670855, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102762.8, last_filled_qty=0.08, canceled_reason=None]
