2025-06-21 10:07:36 - Order events [contract=BTCUSDT, order_id=4575603511, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:36 - Order events [contract=BTCUSDT, order_id=4575603511, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.052, canceled_reason=None]
2025-06-21 10:07:39 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:39 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:39 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:39 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:39 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:40 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:40 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:40 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:40 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:40 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:40 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:40 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
