2025-06-18 23:31:50 - Order events [contract=BTCUSDT, order_id=4556212665, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104665.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:31:52 - Order events [contract=BTCUSDT, order_id=4556212761, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104672.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:31:53 - Order events [contract=BTCUSDT, order_id=4556212996, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104660.9, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:31:55 - Order events [contract=BTCUSDT, order_id=4556213119, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104660.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:31:56 - Order events [contract=BTCUSDT, order_id=4556213227, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104678.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:31:58 - Order events [contract=BTCUSDT, order_id=4556213413, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104660.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:32:00 - Order events [contract=BTCUSDT, order_id=4556213665, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104660.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:32:02 - Order events [contract=BTCUSDT, order_id=4556214574, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104643.3, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:32:04 - Order events [contract=BTCUSDT, order_id=4556215170, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104609.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:32:06 - Order events [contract=BTCUSDT, order_id=4556216068, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104589.3, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:32:08 - Order events [contract=BTCUSDT, order_id=4556216553, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104589.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:32:09 - Order events [contract=BTCUSDT, order_id=4556217063, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104583.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:32:11 - Order events [contract=BTCUSDT, order_id=4556217545, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104589.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:32:12 - Order events [contract=BTCUSDT, order_id=4556217715, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104589.5, last_filled_qty=0.001, canceled_reason=None]
