2025-06-18 22:48:36 - Order events [contract=BTCUSDT, order_id=4555736506, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105026.7, last_filled_qty=0.066, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
