2025-06-20 23:40:41 - Order events [contract=BTCUSDT, order_id=4572086582, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104375.3, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 23:40:41 - Order events [contract=BTCUSDT, order_id=4572086582, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104375.3, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 23:40:41 - Order events [contract=BTCUSDT, order_id=4572086582, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104375.4, last_filled_qty=0.08, canceled_reason=None]
2025-06-20 23:40:42 - Order events [contract=BTCUSDT, order_id=4572086674, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104372.5, last_filled_qty=0.04, canceled_reason=None]
2025-06-20 23:40:42 - Order events [contract=BTCUSDT, order_id=4572086674, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104372.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 23:40:42 - Order events [contract=BTCUSDT, order_id=4572086674, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104343.4, last_filled_qty=0.212, canceled_reason=None]
2025-06-20 23:40:58 - Order events [contract=BTCUSDT, order_id=4572088112, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104347.0, last_filled_qty=0.021, canceled_reason=None]
2025-06-20 23:41:00 - Order events [contract=BTCUSDT, order_id=4572088112, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104347.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 23:41:00 - Order events [contract=BTCUSDT, order_id=4572088112, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104347.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 23:41:01 - Order events [contract=BTCUSDT, order_id=4572088251, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104347.0, last_filled_qty=0.017, canceled_reason=None]
2025-06-20 23:41:03 - Order events [contract=BTCUSDT, order_id=4572088251, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104347.0, last_filled_qty=0.002, canceled_reason=None]
2025-06-20 23:41:04 - Order events [contract=BTCUSDT, order_id=4572088251, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104347.0, last_filled_qty=0.002, canceled_reason=None]
2025-06-20 23:41:04 - Order events [contract=BTCUSDT, order_id=4572088490, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104347.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 23:41:13 - Order events [contract=BTCUSDT, order_id=4572089973, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104340.4, last_filled_qty=0.003, canceled_reason=None]
2025-06-20 23:41:13 - Order events [contract=BTCUSDT, order_id=4572089973, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104340.4, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 23:41:13 - Order events [contract=BTCUSDT, order_id=4572089973, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104340.4, last_filled_qty=0.048, canceled_reason=None]
2025-06-20 23:41:13 - Order events [contract=BTCUSDT, order_id=4572089973, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104345.9, last_filled_qty=0.001, canceled_reason=None]
2025-06-20 23:41:13 - Order events [contract=BTCUSDT, order_id=4572089973, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104346.0, last_filled_qty=0.002, canceled_reason=None]
2025-06-20 23:41:13 - Order events [contract=BTCUSDT, order_id=4572089973, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104352.0, last_filled_qty=0.026, canceled_reason=None]
