2025-06-24 00:04:33 - Order events [contract=BTCUSDT, order_id=4635054704, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101307.9, last_filled_qty=0.081, canceled_reason=None]
2025-06-24 00:04:35 - Order events [contract=BTCUSDT, order_id=4635059084, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101311.0, last_filled_qty=0.035, canceled_reason=None]
2025-06-24 00:04:35 - Order events [contract=BTCUSDT, order_id=4635059084, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101310.3, last_filled_qty=0.035, canceled_reason=None]
2025-06-24 00:04:35 - Order events [contract=BTCUSDT, order_id=4635059084, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101303.4, last_filled_qty=0.011, canceled_reason=None]
2025-06-24 00:04:53 - Order events [contract=BTCUSDT, order_id=4635077639, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101315.9, last_filled_qty=0.081, canceled_reason=None]
2025-06-24 00:04:56 - Order events [contract=BTCUSDT, order_id=4635079022, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101315.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-24 00:04:56 - Order events [contract=BTCUSDT, order_id=4635079022, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101311.2, last_filled_qty=0.08, canceled_reason=None]
2025-06-24 00:04:58 - Order events [contract=BTCUSDT, order_id=4635080349, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101315.1, last_filled_qty=0.081, canceled_reason=None]
2025-06-24 00:04:59 - Order events [contract=BTCUSDT, order_id=4635081342, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101314.6, last_filled_qty=0.008, canceled_reason=None]
2025-06-24 00:04:59 - Order events [contract=BTCUSDT, order_id=4635081342, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101312.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-24 00:04:59 - Order events [contract=BTCUSDT, order_id=4635081342, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101310.4, last_filled_qty=0.051, canceled_reason=None]
2025-06-24 00:04:59 - Order events [contract=BTCUSDT, order_id=4635081342, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101310.3, last_filled_qty=0.003, canceled_reason=None]
2025-06-24 00:04:59 - Order events [contract=BTCUSDT, order_id=4635081342, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101309.8, last_filled_qty=0.017, canceled_reason=None]
2025-06-24 00:05:04 - Order events [contract=BTCUSDT, order_id=4635083357, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=101256.2, last_filled_qty=0.08, canceled_reason=None]
2025-06-24 00:05:07 - Order events [contract=BTCUSDT, order_id=4635084011, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=101258.4, last_filled_qty=0.074, canceled_reason=None]
