2025-06-21 09:57:40 - Order events [contract=BTCUSDT, order_id=4575569028, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 09:57:40 - Order events [contract=BTCUSDT, order_id=4575569028, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:41 - Order events [contract=BTCUSDT, order_id=4575569028, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:43 - Order events [contract=BTCUSDT, order_id=4575569028, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:44 - Order events [contract=BTCUSDT, order_id=4575569028, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:45 - Order events [contract=BTCUSDT, order_id=4575569122, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:47 - Order events [contract=BTCUSDT, order_id=4575569273, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:47 - Order events [contract=BTCUSDT, order_id=4575569273, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:49 - Order events [contract=BTCUSDT, order_id=4575569273, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:49 - Order events [contract=BTCUSDT, order_id=4575569273, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:51 - Order events [contract=BTCUSDT, order_id=4575569339, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:52 - Order events [contract=BTCUSDT, order_id=4575569339, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:57:55 - Order events [contract=BTCUSDT, order_id=4575569594, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.5, last_filled_qty=0.481, canceled_reason=None]
2025-06-21 09:58:07 - Order events [contract=BTCUSDT, order_id=4575570494, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103444.3, last_filled_qty=0.045, canceled_reason=None]
2025-06-21 09:58:32 - Order events [contract=BTCUSDT, order_id=4575572051, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103438.4, last_filled_qty=0.004, canceled_reason=None]
2025-06-21 09:58:32 - Order events [contract=BTCUSDT, order_id=4575572051, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103437.9, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 09:58:32 - Order events [contract=BTCUSDT, order_id=4575572051, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103437.8, last_filled_qty=0.59, canceled_reason=None]
