2025-06-18 23:24:46 - Order events [contract=BTCUSDT, order_id=4556140976, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:24:48 - Order events [contract=BTCUSDT, order_id=4556141442, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:24:49 - Order events [contract=BTCUSDT, order_id=4556141553, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:24:51 - Order events [contract=BTCUSDT, order_id=4556141663, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:24:52 - Order events [contract=BTCUSDT, order_id=4556141778, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:24:54 - Order events [contract=BTCUSDT, order_id=4556142038, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:24:56 - Order events [contract=BTCUSDT, order_id=4556142481, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:24:58 - Order events [contract=BTCUSDT, order_id=4556142684, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:00 - Order events [contract=BTCUSDT, order_id=4556142776, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:02 - Order events [contract=BTCUSDT, order_id=4556142956, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:03 - Order events [contract=BTCUSDT, order_id=4556143136, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104541.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:06 - Order events [contract=BTCUSDT, order_id=4556144123, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104548.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:08 - Order events [contract=BTCUSDT, order_id=4556144790, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104553.9, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:09 - Order events [contract=BTCUSDT, order_id=4556145269, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104589.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:11 - Order events [contract=BTCUSDT, order_id=4556145772, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104589.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:12 - Order events [contract=BTCUSDT, order_id=4556146224, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104675.3, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:30 - Order events [contract=BTCUSDT, order_id=4556150186, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104672.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 23:25:32 - Order events [contract=BTCUSDT, order_id=4556150374, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104675.3, last_filled_qty=0.001, canceled_reason=None]
