2025-06-19 23:58:20 - Order events [contract=BTCUSDT, order_id=4564629920, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104100.0, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:21 - Order events [contract=BTCUSDT, order_id=4564630168, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104100.1, last_filled_qty=0.037, canceled_reason=None]
2025-06-19 23:58:25 - Order events [contract=BTCUSDT, order_id=4564629920, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104100.0, last_filled_qty=0.019, canceled_reason=None]
2025-06-19 23:58:30 - Order events [contract=BTCUSDT, order_id=4564630672, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104097.5, last_filled_qty=0.065, canceled_reason=None]
2025-06-19 23:58:30 - Order events [contract=BTCUSDT, order_id=4564630672, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104097.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:32 - Order events [contract=BTCUSDT, order_id=4564630672, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104097.5, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:37 - Order events [contract=BTCUSDT, order_id=4564631159, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104097.4, last_filled_qty=0.021, canceled_reason=None]
2025-06-19 23:58:37 - Order events [contract=BTCUSDT, order_id=4564631159, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104097.5, last_filled_qty=0.018, canceled_reason=None]
2025-06-19 23:58:39 - Order events [contract=BTCUSDT, order_id=4564631246, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104075.0, last_filled_qty=0.037, canceled_reason=None]
2025-06-19 23:58:47 - Order events [contract=BTCUSDT, order_id=4564631810, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104066.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-19 23:58:47 - Order events [contract=BTCUSDT, order_id=4564631810, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104067.8, last_filled_qty=0.002, canceled_reason=None]
2025-06-19 23:58:47 - Order events [contract=BTCUSDT, order_id=4564631810, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104068.9, last_filled_qty=0.002, canceled_reason=None]
2025-06-19 23:58:47 - Order events [contract=BTCUSDT, order_id=4564631810, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104069.1, last_filled_qty=0.005, canceled_reason=None]
2025-06-19 23:58:47 - Order events [contract=BTCUSDT, order_id=4564631810, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104070.9, last_filled_qty=0.025, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.117, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.045, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.002, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.002, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:48 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.056, canceled_reason=None]
2025-06-19 23:58:49 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.056, canceled_reason=None]
2025-06-19 23:58:49 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:49 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.001, canceled_reason=None]
2025-06-19 23:58:49 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.097, canceled_reason=None]
2025-06-19 23:58:49 - Order events [contract=BTCUSDT, order_id=4564632115, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=104066.1, last_filled_qty=0.002, canceled_reason=None]
2025-06-19 23:58:50 - Order events [contract=BTCUSDT, order_id=4564632222, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104065.4, last_filled_qty=0.03, canceled_reason=None]
