2025-06-18 22:36:26 - Order events [contract=BTCUSDT, order_id=4555600598, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104945.5, last_filled_qty=0.003, canceled_reason=None]
2025-06-18 22:36:28 - Order events [contract=BTCUSDT, order_id=4555600915, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104945.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:31 - Order events [contract=BTCUSDT, order_id=4555601628, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104947.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:33 - Order events [contract=BTCUSDT, order_id=4555602079, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104947.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:36 - Order events [contract=BTCUSDT, order_id=4555602722, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104950.0, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:38 - Order events [contract=BTCUSDT, order_id=4555602885, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104950.0, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:40 - Order events [contract=BTCUSDT, order_id=4555603601, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104958.1, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:42 - Order events [contract=BTCUSDT, order_id=4555604196, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104966.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:44 - Order events [contract=BTCUSDT, order_id=4555604394, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104995.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:47 - Order events [contract=BTCUSDT, order_id=4555605208, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105013.8, last_filled_qty=0.003, canceled_reason=None]
2025-06-18 22:36:48 - Order events [contract=BTCUSDT, order_id=4555605797, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105013.8, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:51 - Order events [contract=BTCUSDT, order_id=4555606086, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105013.8, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:54 - Order events [contract=BTCUSDT, order_id=4555606538, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105013.8, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:36:56 - Order events [contract=BTCUSDT, order_id=4555607178, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105013.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:37:02 - Order events [contract=BTCUSDT, order_id=4555608087, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105013.5, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:37:03 - Order events [contract=BTCUSDT, order_id=4555608573, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105010.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:37:05 - Order events [contract=BTCUSDT, order_id=4555608806, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105010.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:37:07 - Order events [contract=BTCUSDT, order_id=4555609438, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105010.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:37:09 - Order events [contract=BTCUSDT, order_id=4555609866, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105010.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-18 22:37:11 - Order events [contract=BTCUSDT, order_id=4555610243, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105010.6, last_filled_qty=0.002, canceled_reason=None]
