2025-06-21 20:21:45 - Order events [contract=BTCUSDT, order_id=4577728855, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103803.8, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 20:21:45 - Order events [contract=BTCUSDT, order_id=4577728855, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103804.1, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 20:21:45 - Order events [contract=BTCUSDT, order_id=4577728855, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103804.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 20:21:45 - Order events [contract=BTCUSDT, order_id=4577728855, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103806.4, last_filled_qty=0.071, canceled_reason=None]
2025-06-21 20:21:45 - Order events [contract=BTCUSDT, order_id=4577728855, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103806.5, last_filled_qty=0.028, canceled_reason=None]
2025-06-21 20:21:50 - Order events [contract=BTCUSDT, order_id=4577729140, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103802.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 20:21:50 - Order events [contract=BTCUSDT, order_id=4577729140, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103802.6, last_filled_qty=0.104, canceled_reason=None]
2025-06-21 20:21:58 - Order events [contract=BTCUSDT, order_id=4577729675, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103803.3, last_filled_qty=0.042, canceled_reason=None]
2025-06-21 20:21:58 - Order events [contract=BTCUSDT, order_id=4577729675, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103804.3, last_filled_qty=0.063, canceled_reason=None]
2025-06-21 20:22:02 - Order events [contract=BTCUSDT, order_id=4577730119, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103802.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 20:22:02 - Order events [contract=BTCUSDT, order_id=4577730119, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103802.6, last_filled_qty=0.104, canceled_reason=None]
2025-06-21 20:22:10 - Order events [contract=BTCUSDT, order_id=4577730708, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103798.7, last_filled_qty=0.105, canceled_reason=None]
2025-06-21 20:22:16 - Order events [contract=BTCUSDT, order_id=4577731036, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103794.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 20:22:16 - Order events [contract=BTCUSDT, order_id=4577731036, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103794.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 20:22:16 - Order events [contract=BTCUSDT, order_id=4577731036, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103794.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 20:22:16 - Order events [contract=BTCUSDT, order_id=4577731036, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103794.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 20:22:16 - Order events [contract=BTCUSDT, order_id=4577731036, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103794.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 20:22:16 - Order events [contract=BTCUSDT, order_id=4577731036, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103794.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 20:22:16 - Order events [contract=BTCUSDT, order_id=4577731036, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103794.1, last_filled_qty=0.092, canceled_reason=None]
2025-06-21 20:22:16 - Order events [contract=BTCUSDT, order_id=4577731036, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103794.1, last_filled_qty=0.002, canceled_reason=None]
