2025-06-21 15:19:38 - Order events [contract=BTCUSDT, order_id=4576600082, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103410.2, last_filled_qty=0.109, canceled_reason=None]
2025-06-21 15:19:44 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 15:19:45 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 15:19:45 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 15:19:46 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 15:19:46 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.01, canceled_reason=None]
2025-06-21 15:19:47 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 15:19:49 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 15:19:50 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 15:19:50 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 15:19:50 - Order events [contract=BTCUSDT, order_id=4576601685, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103423.2, last_filled_qty=0.002, canceled_reason=None]
