Timestamp,Open,High,Low,Close
2024-05-29 01:02:48,67750.85,67750.85,67750.85,67750.85
2024-05-29 01:02:49,67750.85,67750.85,67750.85,67750.85
2024-05-29 01:02:50,67750.84,67750.85,67750.84,67750.84
2024-05-29 01:02:51,67750.85,67750.85,67750.85,67750.85
2024-05-29 01:02:52,67750.84,67750.84,67746.79,67746.79
2024-05-29 01:02:53,67746.79,67746.79,67746.79,67746.79
2024-05-29 01:02:54,67746.79,67746.79,67746.78,67746.78
2024-05-29 01:02:55,67746.79,67746.79,67746.78,67746.78
2024-05-29 01:02:56,67746.79,67746.79,67746.78,67746.78
2024-05-29 01:02:57,67746.78,67746.79,67746.78,67746.78
2024-05-29 01:02:58,67746.79,67751.8,67746.79,67751.8
2024-05-29 01:02:59,67751.79,67764.24,67751.79,67764.24
2024-05-29 01:03:00,67764.24,67764.25,67764.24,67764.24
2024-05-29 01:03:01,67764.24,67764.24,67760.2,67760.2
2024-05-29 01:03:02,67760.2,67760.2,67757.28,67757.28
2024-05-29 01:03:03,67757.28,67757.28,67750.85,67750.85
2024-05-29 01:03:04,67749.7,67749.7,67744.0,67744.0
2024-05-29 01:03:05,67744.01,67744.01,67744.0,67744.01
2024-05-29 01:03:06,67744.01,67744.01,67734.0,67734.01
2024-05-29 01:03:07,67734.0,67734.01,67730.0,67730.0
2024-05-29 01:03:08,67729.99,67729.99,67720.6,67720.6
2024-05-29 01:03:09,,,,
2024-05-29 01:03:10,67720.0,67720.01,67720.0,67720.01
2024-05-29 01:03:11,67720.01,67720.01,67720.0,67720.01
2024-05-29 01:03:12,67720.01,67720.01,67720.0,67720.01
2024-05-29 01:03:13,67720.01,67720.01,67720.0,67720.0
2024-05-29 01:03:14,67720.0,67720.0,67720.0,67720.0
2024-05-29 01:03:15,67720.0,67720.01,67720.0,67720.01
2024-05-29 01:03:16,67720.0,67720.01,67720.0,67720.01
2024-05-29 01:03:17,67720.01,67720.01,67720.0,67720.0
2024-05-29 01:03:18,67720.01,67720.01,67720.01,67720.01
2024-05-29 01:03:19,67720.01,67720.01,67714.0,67714.0
2024-05-29 01:03:20,67714.0,67714.0,67711.67,67713.8
2024-05-29 01:03:21,67713.99,67714.0,67713.99,67714.0
2024-05-29 01:03:22,67713.98,67713.98,67709.1,67709.1
2024-05-29 01:03:23,67706.79,67706.79,67700.0,67700.0
2024-05-29 01:03:24,67700.0,67700.0,67694.0,67694.0
2024-05-29 01:03:25,67694.01,67694.01,67694.0,67694.01
2024-05-29 01:03:26,67694.0,67694.0,67694.0,67694.0
2024-05-29 01:03:27,67694.0,67694.01,67694.0,67694.01
