timestamp,wallet_balance,unrealized_pnl,realized_pnl,sharpe_ratio,max_drawdown
2025-06-23 22:08:47,11439.59944985,-17.29547317,447.69713306000085,-0.17861554719239664,-8.659510180908381e-05
2025-06-23 22:08:57,11439.76368191,-12.68708928,447.8613651200012,-0.05410298783682347,-0.00010438998535200472
2025-06-23 22:09:07,11439.45328789,-11.8084958,447.55097110000133,-0.07857046345065102,-0.00010438998535200472
2025-06-23 22:09:17,11439.06500944,-10.12781464,447.1626926500012,-0.11096920427220762,-0.00010438998535200472
2025-06-23 22:09:27,11439.45054306,-9.96033126,447.54822627000067,-0.056192260959894116,-0.00010438998535200472
2025-06-23 22:09:37,11439.14449501,-13.10231619,447.2421782199999,-0.07434364915867886,-0.00010438998535200472
2025-06-23 22:09:47,11439.79147327,-7.77151116,447.88915647999966,-0.01728037934866749,-0.00010438998535200472
2025-06-23 22:09:57,11439.78506867,-9.11199909,447.8827518800008,-0.01568715822087651,-0.00010438998535200472
2025-06-23 22:10:07,11440.0242116,-10.54059552,448.1218948100013,-0.00017515849317049044,-0.00014576590352732843
2025-06-23 22:10:17,11439.75133019,-10.83442064,447.84901340000033,-0.011816220667900843,-0.00014576590352732843
2025-06-23 22:10:27,11438.65957583,-6.79911283,446.7572590400014,-0.05451651938521035,-0.00014576590352732843
2025-06-23 22:10:37,11439.08902666,-4.03264687,447.1867098700004,-0.03327618014266199,-0.00014576590352732843
2025-06-23 22:10:47,11439.96073751,-6.11250319,448.05842072000087,-0.0022650432276643023,-0.00014576590352732843
2025-06-23 22:10:57,11439.44253732,-17.42126534,447.5402205299997,-0.01742370595681611,-0.00015071440591651886
2025-06-23 22:11:07,11439.0644376,-19.9916045,447.1621208100005,-0.02475387460436062,-0.00019109219129176402
2025-06-23 22:11:17,11439.5294568,-22.97452858,447.6271400100013,-0.012226635750190628,-0.00019109219129176402
2025-06-23 22:11:27,11439.65972164,-22.21080458,447.75740485000097,-0.008800943698316743,-0.00019109219129176402
2025-06-23 22:11:37,11440.47825149,-16.43858409,448.5759347000003,0.009745784094558148,-0.00019109219129176402
2025-06-23 22:11:47,11439.10217895,-5.15016883,447.1998621599996,-0.015382635472350975,-0.00026321472615076225
2025-06-23 22:11:57,11439.05540255,3.21925514,447.153085760001,-0.015287238106820356,-0.00026321472615076225
2025-06-23 22:12:07,11438.75907576,3.02749063,446.85675896999965,-0.018970960683241517,-0.00026321472615076225
2025-06-23 22:12:17,11439.21814783,4.58724572,447.3158310400013,-0.011509752552567667,-0.00026321472615076225
2025-06-23 22:12:27,11439.49457464,8.07031995,447.59225785000126,-0.007342338695816178,-0.00026321472615076225
2025-06-23 22:12:37,11439.13019905,-1.58352629,447.2278822600001,-0.011922911543555473,-0.00026321472615076225
2025-06-23 22:12:47,11439.53231599,0.95383006,447.6299992000004,-0.006213747782374474,-0.00026321472615076225
2025-06-23 22:12:57,11439.80130889,-1.18871465,447.8989921000011,-0.002773469372593124,-0.00026321472615076225
2025-06-23 22:13:07,11439.95318924,2.27841119,448.0508724499996,-0.0008868991606515145,-0.00026321472615076225
2025-06-23 22:13:17,11439.53997863,-1.36513018,447.6376618400009,-0.005695939820718572,-0.00026321472615076225
2025-06-23 22:13:27,11427.69364503,0.0,435.79132824000044,-0.09753855304043542,-0.0011174888128767657
2025-06-23 22:13:37,11424.12762504,1.86529962,432.22530825000104,-0.11676185476826846,-0.0014345716708007439
2025-06-23 22:13:47,11421.09048401,0.0,429.18816721999974,-0.13073370218531916,-0.001694664073809582
2025-06-23 22:13:57,11413.51796503,0.0,421.61564824000016,-0.16438843966232658,-0.002356569879977566
2025-06-23 22:14:07,11403.49598025,-1.07542006,411.59366346000024,-0.1973927183096451,-0.003261976766149477
2025-06-23 22:14:17,11389.15730844,-2.79798333,397.2549916500011,-0.23920928867081087,-0.004528514912674364
2025-06-23 22:14:27,11381.85816885,-2.78960103,389.9558520600003,-0.25680365204476113,-0.005123918891447143
2025-06-23 22:14:37,11366.18824397,-5.27901743,374.2859271800007,-0.2879295375948841,-0.006493610309544873
