Timestamp,Open,High,Low,Close
2025-06-23 23:23:41,101830.0,101830.0,101830.0,101830.0
2025-06-23 23:23:43,101830.0,101830.0,101830.0,101830.0
2025-06-23 23:23:47,101830.0,101830.0,101830.0,101830.0
2025-06-23 23:23:49,101830.0,101830.0,101830.0,101830.0
2025-06-23 23:23:51,101829.9,101829.9,101829.9,101829.9
2025-06-23 23:23:52,101829.9,101829.9,101829.9,101829.9
2025-06-23 23:23:54,101829.9,101829.9,101829.9,101829.9
2025-06-23 23:23:58,101829.9,101829.9,101829.9,101829.9
2025-06-23 23:23:59,101829.9,101829.9,101829.9,101829.9
2025-06-23 23:24:01,101830.0,101830.0,101830.0,101830.0
