Timestamp,Open,High,Low,Close
2024-05-29 00:38:00,67874.0,67874.0,67840.0,67848.92
2024-05-29 00:39:00,67848.91,67911.89,67848.91,67860.0
2024-05-29 00:40:00,67860.0,67888.0,67860.0,67867.63
2024-05-29 00:41:00,67867.62,67872.0,67769.39,67847.81
2024-05-29 00:42:00,67847.8,67847.81,67792.5,67799.67
2024-05-29 00:43:00,67799.68,67802.55,67769.39,67794.0
2024-05-29 00:44:00,67794.0,67803.44,67790.24,67790.24
2024-05-29 00:45:00,,,,
2024-05-29 00:46:00,,,,
2024-05-29 00:47:00,67790.25,67847.99,67714.39,67764.1
2024-05-29 00:48:00,67764.11,67768.75,67748.0,67768.74
2024-05-29 00:49:00,67768.75,67768.75,67744.01,67759.53
2024-05-29 00:50:00,67759.53,67779.99,67759.53,67771.97
2024-05-29 00:51:00,67771.96,67814.0,67771.96,67813.99
2024-05-29 00:52:00,67814.01,67864.0,67813.3,67813.3
2024-05-29 00:53:00,67813.31,67842.53,67813.3,67842.52
2024-05-29 00:54:00,67842.53,67842.53,67784.0,67817.02
2024-05-29 00:55:00,67817.02,67827.99,67780.01,67827.98
2024-05-29 00:56:00,67827.98,67832.35,67784.01,67832.35
2024-05-29 00:57:00,67832.35,67855.78,67825.22,67855.77
2024-05-29 00:58:00,67855.77,67855.78,67855.77,67855.78
