,Timestamp,Open,High,Low,Close,Volume,Date,Daily_Change,Daily_Change_Open_to_Close,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,HurstExponent,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv
0,2024-04-14 00:00:00,63924.52,63999.52,63747.53,63945.53,218.673,2024-04-14 00:00:00,0.3233220523780167,0.0,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,31972.765,False,False,Hold,64141.186,64066.164000000004,56.89239930213176,0.5633693284230467,0,0,0.0,0.0,False,False,1930770.9000000004,-113830530.0,6289.600000000792,-358440.0000001915,-2315.0500000003376,-174560.00000005588
1,2024-04-14 00:01:00,63945.53,64157.0,63925.35,64152.28,113.91408,2024-04-14 00:01:00,0.3233220523780167,0.0,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,51280.474,False,False,Hold,64141.186,64066.164000000004,56.89239930213176,0.5357802086335977,0,0,0.0,0.0,False,False,1930770.9000000004,-113830530.0,6289.600000000792,-358440.0000001915,-2315.0500000003376,-174560.00000005588
2,2024-04-14 00:02:00,64152.29,64179.07,64054.0,64158.04,67.06787,2024-04-14 00:02:00,0.008978636456880018,1.5587910518593053e-05,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,59205.130000000005,False,False,Hold,64141.186,64066.164000000004,56.89239930213176,0.48027797138752515,0,0,0.0,0.0,False,False,792465.6000000003,-113830530.0,6289.600000000792,-358440.0000001915,-2315.0500000003376,-174560.00000005588
3,2024-04-14 00:03:00,64158.04,64272.73,64131.82,64260.79,71.66376,2024-04-14 00:03:00,0.16015140113383453,0.0,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,62327.74352941177,True,False,Sell,64141.186,64066.164000000004,56.89239930213176,0.47654663599867053,0,0,0.0,0.0,False,False,312261.3529411763,-48020424.70588241,6289.600000000792,-358440.0000001915,-2315.0500000003376,-174560.00000005588
4,2024-04-14 00:04:00,64260.8,64263.1,64162.56,64189.29,68.58419,2024-04-14 00:04:00,-0.11126536103898133,1.5561588959670847e-05,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,63478.137415730336,False,True,Buy,64141.186,64066.164000000004,56.89239930213176,0.4794652183251388,0,0,102.76000000000204,0.0,False,False,115039.38863185685,-19722196.43093194,6289.600000000792,-358440.0000001915,-2315.0500000003376,-174560.00000005588
5,2024-04-14 00:05:00,64189.29,64263.11,64148.72,64260.01,100.48391,2024-04-14 00:05:00,0.11017414275809045,0.0,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,63961.354806866955,False,False,Hold,64204.08200000001,64066.164000000004,56.89239930213176,0.4477470155823081,0,0,31.25,-71.51000000000204,False,False,48321.7391136619,-6671764.951819496,6289.600000000792,-358440.0000001915,-2315.0500000003376,-174560.00000005588
6,2024-04-14 00:06:00,64260.01,64288.92,64238.8,64287.54,35.8168,2024-04-14 00:06:00,0.04284157440996861,0.0,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,64162.947950819675,True,False,Sell,64231.134,64066.164000000004,56.89239930213176,0.5056429987370062,0,0,0.0,-0.7900000000008731,False,False,20159.31439527194,-2816242.471838996,2705.1999999988766,-358440.0000001915,-2315.0500000003376,-174560.00000005588
7,2024-04-14 00:07:00,64287.53,64303.87,64155.0,64181.82,72.1848,2024-04-14 00:07:00,-0.16444866299130112,-1.5555113793492904e-05,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,64174.61151534127,False,True,Buy,64235.89,64066.164000000004,56.89239930213176,0.55659454509487,0,0,27.5199999999968,0.0,False,False,1166.3564521593798,-1899295.7943112561,475.60000000012224,-222959.99999987544,-2315.0500000003376,-174560.00000005588
8,2024-04-14 00:08:00,64181.81,64276.89,64092.13,64267.9,78.63828,2024-04-14 00:08:00,0.13411897637056747,-1.5580736105702935e-05,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,64232.266967232725,True,False,Sell,64237.312,64066.164000000004,56.89239930213176,0.5086462719861662,0,0,0.0,-105.72000000000116,False,False,5765.545189145632,459918.87369862525,142.19999999986612,-33340.00000002561,-2315.0500000003376,-174560.00000005588
9,2024-04-14 00:09:00,64267.9,64267.9,64054.95,64220.06,177.99697,2024-04-14 00:09:00,-0.07443840548704284,0.0,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,64224.72264662891,False,False,Hold,64243.466,64066.164000000004,56.89239930213176,0.4777127540333311,0,0,86.09000000000378,-19.62999999999738,False,False,-754.4320603818051,-651997.7249527437,615.400000000227,47320.00000003609,-2315.0500000003376,-174560.00000005588
10,2024-04-14 00:10:00,64220.05,64236.66,64177.0,64182.87,48.84754,2024-04-14 00:10:00,-0.05791025421028051,-1.5571458504961395e-05,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,64198.8562885159,False,False,Hold,64228.038,64066.164000000004,56.89239930213176,0.458425838331715,0,0,38.24000000000524,-67.47999999999593,False,False,-2586.6358113009483,-183220.37509191432,-1542.7999999999884,-215820.00000002154,-2315.0500000003376,-174560.00000005588
11,2024-04-14 00:11:00,64182.87,64205.5,63997.02,64056.57,59.39346,2024-04-14 00:11:00,-0.1967814776746568,0.0,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,64110.9185260913,False,True,Buy,64181.844,64066.164000000004,56.89239930213176,0.4409347496686235,0,0,1.0600000000049477,0.0,False,False,-8793.776242459717,-620714.0431158768,-4619.400000000314,-307660.0000000326,-2315.0500000003376,-174560.00000005588
12,2024-04-14 00:12:00,64056.58,64157.0,64032.42,64156.99,30.74307,2024-04-14 00:12:00,0.15676768206602798,1.5611201164903566e-05,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,64139.392262878144,True,False,Sell,64176.878000000004,64066.164000000004,56.89239930213176,0.4318550320676577,0,0,0.0,-126.29000000000087,False,False,2847.37367868438,1164114.9921144098,-496.59999999930733,412280.0000001007,-2315.0500000003376,-174560.00000005588
13,2024-04-14 00:13:00,64157.0,64217.0,64090.9,64090.91,31.05718,2024-04-14 00:13:00,-0.10299735071734872,1.5586766152896618e-05,61.72124959557147,41.57972013857283,61.72124959557147,61.72124959557147,64109.428576568025,False,False,Hold,64141.48,64066.164000000004,56.89239930213176,0.45477735412547865,0,0,100.41999999999825,-25.87000000000262,False,False,-2996.3686310118646,-584374.2309696245,-3539.800000000105,-304320.00000007974,-2315.0500000003376,-174560.00000005588
14,2024-04-14 00:14:00,64090.91,64113.18,63810.64,63874.97,102.34684,2024-04-14 00:14:00,-0.33692765479536035,0.0,13.04259676013246,41.57972013857283,45.49503198375847,56.3125103916338,63964.525207295126,False,True,Buy,64072.462,64066.164000000004,47.22331533630321,0.4882929261902798,0,0,34.330000000001746,0.0,False,False,-14490.3369272899,-1149396.8296278035,-6901.800000000367,-336200.0000000262,-2315.0500000003376,-174560.00000005588
15,2024-04-14 00:15:00,63874.96,64030.31,63757.0,64030.3,122.39456,2024-04-14 00:15:00,0.24317819640462535,-1.565558465551885e-05,49.975314060014554,41.57972013857283,41.57972013857283,49.59866723930093,64005.17626478972,True,False,Sell,64041.948,64066.164000000004,44.99737524197006,0.4695989673185234,0,0,0.0,-215.95000000000437,False,False,4065.105749459326,1855544.2676749225,-3051.400000000285,385040.00000000815,-2315.0500000003376,-174560.00000005588
16,2024-04-14 00:16:00,64030.3,64030.31,63865.58,63877.21,60.84773,2024-04-14 00:16:00,-0.2390899308608585,0.0,21.981458116188225,28.333122978778416,28.333122978778416,38.46929170036991,63926.088763736305,False,False,Hold,64006.076,64066.164000000004,39.72440339848807,0.5276133075842391,0,0,155.34000000000378,-60.61000000000058,False,False,-7908.75010534146,-1197385.5854800786,-3587.199999999575,-53579.99999992899,-2315.0500000003376,-174560.00000005588
17,2024-04-14 00:17:00,63877.2,63893.49,63701.49,63725.89,73.42104,2024-04-14 00:17:00,-0.23689199950968076,-1.56550356567503e-05,4.050599289485253,25.33579048856268,25.33579048856268,31.749544535304647,63802.35912324156,False,True,Buy,63919.85600000001,64066.164000000004,31.09974135372353,0.5960163711544123,0,0,2.2399999999979627,0.0,False,False,-12372.964049474831,-446421.3944133371,-8621.999999999389,-503479.9999999814,-2315.0500000003376,-174560.00000005588
18,2024-04-14 00:18:00,63725.9,63826.37,63705.65,63735.26,63.37888,2024-04-14 00:18:00,0.014703600059573496,1.569220924499802e-05,5.606095819914973,10.54605107519615,10.54605107519615,21.40498818084575,63760.88958446296,True,False,Sell,63848.726,64066.164000000004,33.22049182145432,0.5739188742452438,0,0,0.0,-151.29999999999563,False,False,-4146.953877859778,822601.0171615053,-7113.000000000466,150899.99999989232,-2315.0500000003376,-174560.00000005588
19,2024-04-14 00:19:00,63735.26,63782.56,63598.36,63669.05,104.71338,2024-04-14 00:19:00,-0.10388284287221605,0.0,10.019702059503356,6.5587990563011935,6.5587990563011935,14.146880206686674,63704.12959975219,False,False,Hold,63807.542,64066.164000000004,28.086946203705196,0.5467000633314114,0,0,9.360000000000582,-141.93999999999505,False,False,-5675.998471077037,-152904.45932172588,-4118.400000000111,299460.0000000355,-2315.0500000003376,-174560.00000005588
20,2024-04-14 00:20:00,63669.06,63669.06,63438.59,63482.52,124.29732,2024-04-14 00:20:00,-0.2929680904615428,1.57062183192011e-05,5.076969304733725,6.900922394717352,6.900922394717352,8.001924175404898,63567.16733487207,False,False,Hold,63697.986,64043.0135,23.298085470539164,0.528766950966789,0,0,-56.84000000000378,-208.13999999999942,False,False,-13696.226488011598,-802022.8016934561,-10955.600000000413,-683720.0000000303,-2315.0500000003376,-174560.00000005588
21,2024-04-14 00:21:00,63482.52,63499.0,63317.0,63340.15,124.0963,2024-04-14 00:21:00,-0.2242664594915178,0.0,2.4117346779319995,5.8361353473896935,5.8361353473896935,6.431952266136079,63426.86290588572,False,True,Buy,63590.574,64002.40699999999,22.745082800650422,0.51336308733076,0,0,-243.38000000000466,0.0,False,False,-14030.442898635374,-33421.6410623776,-10741.199999999662,21440.000000075088,-4060.6500000008964,-174560.00000005588
22,2024-04-14 00:22:00,63340.15,63532.0,63329.07,63502.36,109.76469,2024-04-14 00:22:00,0.25609348888500083,0.0,19.493111788831666,8.99393859049913,8.99393859049913,7.243665444202058,63473.5226761002,False,False,Hold,63545.868,63969.623,26.37513887174427,0.5143295706999563,0,0,-385.75,-142.36999999999534,False,False,4665.977021447907,1869641.992008328,-4470.599999999831,627059.9999999831,-3278.3999999992375,78225.00000016589
23,2024-04-14 00:23:00,63502.35,63569.27,63426.94,63537.85,91.74191,2024-04-14 00:23:00,0.05588768669384514,-1.574744623985198e-05,24.01430963616964,15.306385367644433,15.306385367644433,10.045486435177752,63513.279148675596,True,False,Sell,63506.386,63933.476,28.78502347855833,0.49929899198300715,0,0,0.0,19.830000000001746,False,False,3975.647257539822,-69032.97639080847,-3948.200000000361,52239.99999994703,-3614.6999999997206,-33630.00000004831
24,2024-04-14 00:24:00,63537.84,63595.92,63316.12,63403.69,74.77852,2024-04-14 00:24:00,-0.21114973201012965,-1.5738650272297957e-05,9.720495515495955,17.742638980165754,17.742638980165754,14.01432097943644,63445.54932999591,False,False,Hold,63453.314,63894.19600000001,27.147734071632186,0.5113136862939922,0,0,35.48999999999796,55.31999999999971,False,False,-6772.981867968338,-1074862.9125508158,-5307.200000000012,-135899.99999996508,-3927.999999999156,-31329.99999994354
